rMB/s,wMB/s,device_util
1.29532,0.46744,0.15
529.916,0.0,57.4
1027.84,0.0,83.0
986.24,0.0,81.9
1052.032,0.0,82.9
1029.632,0.0,82.7
995.84,0.0,82.8
1050.88,0.0,84.3
983.168,0.0,78.4
881.28,0.0,68.3
761.984,0.0,57.7
724.608,0.0,54.3
754.944,0.0,60.1
863.364,0.0,67.0
755.84,0.0,64.8
564.788,0.0,46.8
594.048,0.0,46.9
576.896,0.0,46.6
325.888,1135.512,83.5
464.128,276.68,50.9
510.684,167.936,61.3
403.2,339.968,76.3
109.824,335.872,34.0
0.0,504.524,31.9
0.0,237.716,14.9
0.0,241.516,15.0
671.064,0.0,54.8
890.884,0.0,75.0
996.096,0.06,83.1
839.516,0.0,66.3
687.488,402.34,79.4
862.028,0.0,75.5
799.796,0.0,62.2
936.064,0.0,74.5
983.296,0.0,82.3
732.032,0.036,60.6
783.616,0.0,61.5
710.656,0.0,56.1
722.816,0.0,59.6
753.664,0.0,51.7
765.44,0.0,55.8
634.12,0.0,50.0
739.072,0.0,56.3
740.736,0.0,57.2
743.04,0.0,55.8
738.56,0.0,57.9
17.92,0.0,1.4
0.0,0.012,0.0
0.0,0.0,0.0
