%user,nice,%system,%iowait,%steal,%idle
0.27,0.0,0.11,0.33,0.0,99.29
1.88,0.0,2.59,1.17,0.0,94.36
4.13,0.0,3.92,0.21,0.0,91.74
4.13,0.0,3.71,0.38,0.0,91.78
4.13,0.0,4.0,0.21,0.0,91.66
4.17,0.0,3.88,0.29,0.0,91.66
4.13,0.0,3.75,0.42,0.0,91.7
4.13,0.0,3.92,0.25,0.0,91.7
4.5,0.0,3.63,0.17,0.0,91.7
4.17,0.0,4.21,0.0,0.0,91.62
4.13,0.0,4.21,0.0,0.0,91.66
4.17,0.0,4.21,0.08,0.0,91.54
4.16,0.0,4.21,0.04,0.0,91.59
0.71,0.0,7.63,0.58,0.0,91.08
0.04,0.0,8.01,0.29,0.0,91.66
0.42,0.0,7.96,0.04,0.0,91.58
0.04,0.0,8.33,0.0,0.0,91.62
0.0,0.0,8.33,0.04,0.0,91.62
0.0,0.0,8.09,2.65,0.0,89.26
0.5,0.0,7.64,0.58,0.0,91.28
0.04,0.0,8.02,0.5,0.0,91.44
0.0,0.0,7.22,1.63,0.0,91.16
0.38,0.0,5.35,0.33,0.0,93.94
0.0,0.0,5.3,0.29,0.0,94.41
0.0,0.0,4.42,0.0,0.0,95.58
0.04,0.0,4.38,0.04,0.0,95.54
2.75,0.0,3.96,0.21,0.0,93.08
8.75,0.0,4.46,0.17,0.0,86.62
4.13,0.0,4.09,0.33,0.0,91.44
22.4,0.0,6.26,0.08,0.0,71.26
9.52,0.0,5.14,1.34,0.0,84.01
4.51,0.0,3.34,0.42,0.0,91.74
20.32,0.0,27.02,1.31,0.0,51.35
7.35,0.0,11.24,0.42,0.0,80.99
4.17,0.0,3.83,0.33,0.0,91.66
4.13,0.0,4.09,0.08,0.0,91.7
4.16,0.0,4.21,0.04,0.0,91.59
4.08,0.0,4.58,1.42,0.0,89.92
4.13,0.0,4.17,0.04,0.0,91.66
4.17,0.0,4.17,0.04,0.0,91.62
4.13,0.0,4.25,0.0,0.0,91.62
4.46,0.0,4.04,0.79,0.0,90.71
4.13,0.0,4.21,0.0,0.0,91.66
4.13,0.0,4.21,0.0,0.0,91.66
4.12,0.0,4.29,0.42,0.0,91.17
4.12,0.0,4.21,0.04,0.0,91.62
39.37,0.0,12.26,0.25,0.0,48.12
0.08,0.0,4.39,0.04,0.0,95.49
0.0,0.0,3.22,2.46,0.0,94.32
