Linux 3.10.0-1160.el7.x86_64 (ca04c2827d4f) 	03/26/24 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.36    0.00    0.13    0.43    0.00   99.09

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme0n1         43.37   1406.55     9.54  18.03   10.65    32.43    2.69    343.72     0.01   0.54   63.72   127.89    0.00      0.00     0.00   0.00    0.00     0.00    0.85   0.16
nvme0n1p1       15.70    399.37     2.64  14.42   61.42    25.44    0.01      0.80     0.00   0.91   42.87   126.90    0.00      0.00     0.00   0.00    0.00     0.00    0.97   0.13
nvme0n1p2        6.69    257.04     1.92  22.27  108.05    38.42    0.01      0.80     0.00   0.47   73.21   127.55    0.00      0.00     0.00   0.00    0.00     0.00    0.72   0.10
nvme0n1p3        4.34    177.64     1.39  24.31  141.78    40.94    0.01      0.78     0.00   0.45   54.72   127.57    0.00      0.00     0.00   0.00    0.00     0.00    0.62   0.09
nvme0n1p4        0.00      0.00     0.00   0.00    0.00     3.33    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p5        5.81    184.80     1.20  17.08  129.34    31.81    0.01      0.78     0.00   0.45   42.25   127.52    0.00      0.00     0.00   0.00    0.00     0.00    0.75   0.10
nvme0n1p6        4.77    157.45     1.15  19.39  119.86    32.99    0.01      0.80     0.00   0.41   63.37   127.67    0.00      0.00     0.00   0.00    0.00     0.00    0.57   0.08
nvme0n1p7        4.12    140.66     0.98  19.23  143.07    34.12    0.01      0.78     0.00   0.46   52.75   127.59    0.00      0.00     0.00   0.00    0.00     0.00    0.59   0.08
nvme0n1p8        0.95     28.00     0.14  12.93  112.41    29.49    0.02      2.62     0.00   0.37   73.84   127.84    0.00      0.00     0.00   0.00    0.00     0.00    0.11   0.01
nvme0n1p9        0.98     61.59     0.12  10.52   96.00    62.56    2.63    336.36     0.01   0.54   63.77   127.89    0.00      0.00     0.00   0.00    0.00     0.00    0.26   0.04
nvme1n1          0.00      0.00     0.00   0.00    0.24    33.68    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdf              0.00      0.00     0.00   0.00    0.97    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdb              1.10    140.42     0.00   0.02   22.28   127.70    0.17     65.28     0.29  63.98  451.74   395.22    0.00      0.00     0.00   0.00    0.00     0.00    0.10   0.26
sdb1             1.10    140.41     0.00   0.02   22.28   127.71    0.16     65.28     0.29  64.44  460.86   403.33    0.00      0.00     0.00   0.00    0.00     0.00    0.10   0.26
sda             35.91    720.67   139.85  79.57    4.36    20.07    5.31    940.38   200.61  97.42  323.50   177.04    0.00      0.00     0.00   0.00    0.00     0.00    1.88   4.44
sda1             0.00      0.01     0.00   0.00    6.81    12.68    0.00      0.00     0.00   0.99   24.25    23.84    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sda2            35.91    720.66   139.85  79.57    4.36    20.07    5.28    940.38   200.61  97.44  325.56   178.24    0.00      0.00     0.00   0.00    0.00     0.00    1.88   4.43
sdd              0.00      0.00     0.00   0.00    0.89    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdc              0.00      0.00     0.00   0.00    1.11    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdg              0.00      0.00     0.00   0.00    1.03    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sde              0.00      0.00     0.00   0.00    0.99    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdh              0.00      0.00     0.00   0.00    1.09    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
dm-0             0.62     19.95     0.00   0.00  106.73    32.09    0.59     83.29     0.00   0.00  388.43   140.88    0.00      0.00     0.00   0.00    0.00     0.00    0.30   1.17
dm-1           175.15    700.59     0.00   0.00    1.83     4.00  205.11    820.42     0.00   0.00    9.50     4.00    0.00      0.00     0.00   0.00    0.00     0.00    0.36   4.31
dm-2             1.10    140.53     0.00   0.00   22.33   127.37    0.74    101.95     0.00   0.00  366.99   138.33    0.00      0.00     0.00   0.00    0.00     0.00    0.30   0.35


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           4.46    0.00    3.54    0.04    0.00   91.95

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme0n1         97.00  12284.00     0.00   0.00    0.19   126.64    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.02   1.30
nvme0n1p1        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p2        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p3        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p4        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p5        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p6        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p7        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p8        0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p9       97.00  12284.00     0.00   0.00    0.19   126.64    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.02   1.30
nvme1n1          0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdf              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdb              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
