Linux 3.10.0-1160.el7.x86_64 (ca04c2827d4f) 	03/26/24 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.36    0.00    0.13    0.42    0.00   99.09

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme0n1         43.33   1400.70     9.55  18.06   10.67    32.33    2.57    328.92     0.01   0.54   63.26   127.89    0.00      0.00     0.00   0.00    0.00     0.00    0.84   0.16
nvme0n1p1       15.71    399.79     2.65  14.42   61.42    25.44    0.01      0.80     0.00   0.91   42.87   126.90    0.00      0.00     0.00   0.00    0.00     0.00    0.97   0.13
nvme0n1p2        6.70    257.31     1.92  22.27  108.05    38.42    0.01      0.80     0.00   0.47   73.21   127.55    0.00      0.00     0.00   0.00    0.00     0.00    0.73   0.10
nvme0n1p3        4.34    177.83     1.40  24.31  141.78    40.94    0.01      0.78     0.00   0.45   54.72   127.57    0.00      0.00     0.00   0.00    0.00     0.00    0.62   0.09
nvme0n1p4        0.00      0.00     0.00   0.00    0.00     3.33    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1p5        5.82    184.99     1.20  17.08  129.34    31.81    0.01      0.78     0.00   0.45   42.25   127.52    0.00      0.00     0.00   0.00    0.00     0.00    0.75   0.10
nvme0n1p6        4.78    157.62     1.15  19.39  119.86    32.99    0.01      0.80     0.00   0.41   63.37   127.67    0.00      0.00     0.00   0.00    0.00     0.00    0.57   0.08
nvme0n1p7        4.13    140.81     0.98  19.23  143.07    34.12    0.01      0.78     0.00   0.46   52.75   127.59    0.00      0.00     0.00   0.00    0.00     0.00    0.59   0.08
nvme0n1p8        0.95     28.03     0.14  12.93  112.41    29.49    0.02      2.62     0.00   0.37   73.84   127.84    0.00      0.00     0.00   0.00    0.00     0.00    0.11   0.01
nvme0n1p9        0.90     54.30     0.12  11.42  105.33    60.46    2.51    321.55     0.01   0.54   63.30   127.89    0.00      0.00     0.00   0.00    0.00     0.00    0.25   0.04
nvme1n1          0.00      0.00     0.00   0.00    0.24    33.68    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdf              0.00      0.00     0.00   0.00    0.97    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdb              1.10    140.57     0.00   0.02   22.28   127.70    0.12     45.44     0.11  46.47  365.63   366.44    0.00      0.00     0.00   0.00    0.00     0.00    0.07   0.25
sdb1             1.10    140.56     0.00   0.02   22.28   127.71    0.12     45.44     0.11  47.14  375.46   376.43    0.00      0.00     0.00   0.00    0.00     0.00    0.07   0.25
sda             35.95    721.43   139.99  79.57    4.36    20.07    5.30    934.26   200.82  97.43  322.98   176.19    0.00      0.00     0.00   0.00    0.00     0.00    1.87   4.43
sda1             0.00      0.01     0.00   0.00    6.81    12.68    0.00      0.00     0.00   0.99   24.25    23.84    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sda2            35.95    721.41   139.99  79.57    4.36    20.07    5.27    934.26   200.82  97.44  325.04   177.38    0.00      0.00     0.00   0.00    0.00     0.00    1.87   4.42
sdd              0.00      0.00     0.00   0.00    0.89    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdc              0.00      0.00     0.00   0.00    1.11    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
sdg              0.00      0.00     0.00   0.00    1.03    27.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
