rMB/s,wMB/s,device_util
1.30949,0.46897000000000005,0.15
583.2,0.0,59.5
773.124,0.0,69.7
963.584,0.0,82.6
775.168,0.0,59.5
312.448,0.0,23.4
0.0,647.848,40.7
710.404,52.48,61.8
626.44,0.0,50.8
686.0,0.0,55.6
402.64,0.0,32.4
667.136,73.4,54.4
523.648,467.836,64.5
111.06931,0.0,8.42
0.0,0.0,0.0
0.0,0.0,0.0
0.256,0.0,0.0
13.076,0.04,1.5
141.604,0.0,11.6
255.552,0.0,20.5
0.036,0.0,0.0
162.544,0.0,12.9
0.0,0.064,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.004,0.0,0.0
0.0,0.0,0.0
0.0,0.036,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
76.916,0.0,7.0
16.688,0.0,3.0
470.648,0.0,38.2
0.0,0.0,0.0
701.188,0.0,56.8
154.116,0.0,12.9
926.72,0.0,79.7
897.536,0.036,72.2
148.224,0.0,12.0
0.0,0.0,0.0
0.0,0.0,0.0
21.248,0.0,2.3
258.816,0.0,20.7
0.0,0.0,0.0
0.0,0.092,0.0
0.0,0.124,0.0
55.32,0.0,11.1
96.232,0.0,13.8
0.0,0.0,0.0
0.0,0.0,0.0
0.0,16.54,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
52.996,0.0,4.6
307.232,559.724,69.0
157.316,0.0,13.0
191.832,0.0,16.0
286.98,0.0,24.2
9.50891,0.0,1.09
409.6,0.0,68.2
525.568,0.048,83.7
403.184,0.0,65.1
0.0,0.0,0.0
0.004,0.0,0.0
6.528,525.72,34.8
