%user,nice,%system,%iowait,%steal,%idle
0.36,0.0,0.13,0.43,0.0,99.09
4.46,0.0,3.54,0.04,0.0,91.95
4.13,0.0,4.21,0.0,0.0,91.66
4.29,0.0,4.08,0.04,0.0,91.58
1.88,0.0,4.0,0.0,0.0,94.12
0.96,0.0,4.17,0.0,0.0,94.87
4.85,0.0,4.85,0.79,0.0,89.5
4.71,0.0,3.92,0.0,0.0,91.38
4.62,0.0,3.92,0.0,0.0,91.46
4.17,0.0,4.21,0.0,0.0,91.62
4.17,0.0,4.21,0.0,0.0,91.62
4.13,0.0,5.01,0.42,0.0,90.44
3.67,0.0,4.59,0.04,0.0,91.7
6.75,0.0,3.71,0.04,0.0,89.5
4.04,0.0,4.04,0.0,0.0,91.92
16.47,0.0,3.0,0.0,0.0,80.53
4.63,0.0,4.0,0.0,0.0,91.37
21.98,0.0,4.09,0.0,0.0,73.94
8.79,0.0,3.38,0.0,0.0,87.83
23.36,0.0,2.8,0.0,0.0,73.84
11.21,0.0,3.63,0.0,0.0,85.16
26.08,0.0,4.89,0.21,0.0,68.83
6.51,0.0,4.67,0.0,0.0,88.82
4.13,0.0,4.25,0.0,0.0,91.62
4.21,0.0,4.17,0.0,0.0,91.62
6.68,0.0,6.01,0.08,0.0,87.23
38.48,0.0,11.69,0.08,0.0,49.75
53.81,0.0,0.29,0.04,0.0,45.85
7.0,0.0,3.12,0.0,0.0,89.88
27.11,0.0,4.85,0.17,0.0,67.88
4.92,0.0,3.71,0.0,0.0,91.37
23.68,0.0,3.04,0.0,0.0,73.28
22.69,0.0,6.48,0.38,0.0,70.46
10.42,0.0,3.88,0.04,0.0,85.67
4.13,0.0,4.25,0.0,0.0,91.62
21.64,0.0,2.96,0.0,0.0,75.4
27.14,0.0,2.25,0.04,0.0,70.57
0.0,0.0,4.17,0.0,0.0,95.83
0.04,0.0,4.21,0.0,0.0,95.75
6.06,0.0,6.81,0.29,0.0,86.84
29.34,0.0,2.84,0.0,0.0,67.82
4.09,0.0,4.0,0.0,0.0,91.91
31.61,0.0,4.46,0.08,0.0,63.84
27.11,0.0,3.13,0.0,0.0,69.77
4.13,0.0,4.21,0.0,0.0,91.66
4.13,0.0,4.25,0.0,0.0,91.62
4.13,0.0,4.21,0.0,0.0,91.66
26.69,0.0,6.01,0.04,0.0,67.26
52.05,0.0,1.59,0.0,0.0,46.37
16.76,0.0,3.13,0.0,0.0,80.11
18.56,0.0,7.4,0.33,0.0,73.7
16.31,0.0,4.42,0.04,0.0,79.22
20.43,0.0,3.26,0.71,0.0,75.6
26.45,0.0,3.04,0.0,0.0,70.51
4.17,0.0,4.21,0.0,0.0,91.62
9.09,0.0,4.5,0.04,0.0,86.37
37.14,0.0,2.5,0.0,0.0,60.36
8.55,0.0,4.59,0.0,0.0,86.87
