rMB/s,wMB/s,device_util
1.4007,0.32892,0.16
0.0,0.0,0.0
163.328,0.0,28.1
687.812,0.0,97.6
660.692,0.0,96.6
610.608,0.0,87.9
548.352,0.016,90.2
542.848,0.0,90.8
559.824,0.0,88.6
547.712,0.0,89.4
552.624,0.0,88.0
524.472,0.008,53.6
0.0,0.0,0.0
0.0,0.0,0.0
7.044,0.0,0.8
822.824,0.0,62.9
282.0,0.168,28.8
534.148,753.664,83.6
910.976,0.0,70.3
716.632,0.0,53.8
452.484,0.0,34.2
417.852,0.0,33.1
0.0,935.772,58.8
0.00396,1575.9207900000001,99.11
0.0,360.724,22.6
0.0,0.0,0.0
0.0,0.0,0.0
0.052,0.18,0.1
0.0,0.0,0.0
21.504,0.0,3.8
606.128,0.0,96.1
684.484,0.0,98.5
555.08,0.028,89.1
376.18,0.0,58.2
0.0,0.0,0.0
372.224,0.0,55.9
30.02,0.0,4.1
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.012,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,830.832,52.3
0.0,1066.928,67.1
0.0,1591.264,100.0
0.0,1387.652,87.4
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.152,0.0
0.0,49.424,3.1
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.076,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.016,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,874.972,55.1
0.016,1191.728,74.9
0.0,0.228,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,153.216,9.6
0.004,1535.488,97.5
0.0,1170.66,74.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.176,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.012,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.016,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
