%user,nice,%system,%iowait,%steal,%idle
0.36,0.0,0.13,0.42,0.0,99.09
3.21,0.0,3.92,0.0,0.0,92.87
4.13,0.0,3.71,0.5,0.0,91.66
4.13,0.0,2.84,1.25,0.0,91.78
4.1,0.0,2.59,1.42,0.0,91.89
4.13,0.0,2.58,1.63,0.0,91.66
4.18,0.0,2.25,1.75,0.0,91.82
4.18,0.0,2.13,1.67,0.0,92.01
4.17,0.0,2.33,1.83,0.0,91.66
4.18,0.0,2.34,1.55,0.0,91.93
4.09,0.0,2.5,1.67,0.0,91.74
4.42,0.0,3.54,0.33,0.0,91.7
4.16,0.0,4.25,0.0,0.0,91.59
4.17,0.0,4.46,0.0,0.0,91.37
5.43,0.0,5.8,0.0,0.0,88.77
0.38,0.0,8.64,0.04,0.0,90.94
0.42,0.0,8.73,0.29,0.0,90.56
1.17,0.0,11.65,1.05,0.0,86.13
0.0,0.0,11.46,0.04,0.0,88.5
0.42,0.0,8.21,0.08,0.0,91.29
13.04,0.0,7.15,13.96,0.0,65.86
45.58,0.0,7.22,0.04,0.0,47.16
34.23,0.0,9.9,1.09,0.0,54.78
1.73,0.0,5.98,6.06,0.0,86.23
13.89,0.0,7.39,1.26,0.0,77.47
4.02,0.0,4.94,0.0,0.0,91.05
38.1,0.0,11.0,0.29,0.0,50.61
1.88,0.0,7.72,0.04,0.0,90.36
39.34,0.0,16.24,1.18,0.0,43.25
33.86,0.0,5.63,0.13,0.0,60.38
1.38,0.0,5.39,1.38,0.0,91.85
4.13,0.0,2.84,1.25,0.0,91.78
4.17,0.0,2.5,1.75,0.0,91.58
4.12,0.0,3.16,1.17,0.0,91.55
4.17,0.0,4.25,0.0,0.0,91.58
4.13,0.0,3.38,0.83,0.0,91.66
4.5,0.0,3.79,0.04,0.0,91.66
4.13,0.0,4.42,0.0,0.0,91.45
4.17,0.0,6.04,0.0,0.0,89.79
35.58,0.0,7.19,0.21,0.0,57.02
48.19,0.0,3.92,0.08,0.0,47.81
52.48,0.0,1.84,0.0,0.0,45.68
51.75,0.0,2.5,0.0,0.0,45.74
52.92,0.0,1.38,0.0,0.0,45.7
53.4,0.0,0.88,0.0,0.0,45.72
52.84,0.0,1.5,0.0,0.0,45.66
40.7,0.0,1.42,0.0,0.0,57.88
18.17,0.0,0.96,0.0,0.0,80.87
52.9,0.0,1.34,0.0,0.0,45.77
27.26,0.0,1.21,0.0,0.0,71.53
0.0,0.0,4.17,0.0,0.0,95.83
0.0,0.0,4.17,0.0,0.0,95.83
0.0,0.0,4.21,0.0,0.0,95.79
0.04,0.0,5.01,0.59,0.0,94.36
0.0,0.0,5.56,1.46,0.0,92.97
0.04,0.0,8.2,3.21,0.0,88.55
10.26,0.0,5.72,5.21,0.0,78.81
7.01,0.0,6.84,0.0,0.0,86.15
23.02,0.0,7.14,0.21,0.0,69.63
44.43,0.0,12.83,0.84,0.0,41.9
23.85,0.0,10.25,0.46,0.0,65.44
39.06,0.0,9.51,0.5,0.0,50.92
4.09,0.0,4.26,0.0,0.0,91.66
4.13,0.0,4.25,0.0,0.0,91.62
4.13,0.0,4.26,0.0,0.0,91.61
3.63,0.0,7.75,0.04,0.0,88.58
4.17,0.0,4.21,0.0,0.0,91.62
4.13,0.0,4.21,0.0,0.0,91.66
4.8,0.0,4.25,0.0,0.0,90.95
48.83,0.0,5.42,0.04,0.0,45.7
27.06,0.0,4.05,0.0,0.0,68.89
0.0,0.0,4.17,0.0,0.0,95.83
0.04,0.0,4.21,0.0,0.0,95.75
0.0,0.0,4.17,0.0,0.0,95.83
0.0,0.0,5.18,0.59,0.0,94.23
0.04,0.0,5.16,1.22,0.0,93.58
0.04,0.0,6.22,0.0,0.0,93.74
10.69,0.0,4.38,0.08,0.0,84.84
4.09,0.0,6.8,0.0,0.0,89.12
25.14,0.0,4.21,0.0,0.0,70.65
20.28,0.0,8.8,0.0,0.0,70.92
24.59,0.0,14.7,0.04,0.0,60.67
20.83,0.0,11.15,1.59,0.0,66.43
2.71,0.0,5.68,0.0,0.0,91.61
4.69,0.0,4.86,0.17,0.0,90.29
4.15,0.0,4.27,0.0,0.0,91.58
4.56,0.0,3.97,0.0,0.0,91.46
4.13,0.0,4.21,0.0,0.0,91.66
4.17,0.0,4.21,0.0,0.0,91.62
15.08,0.0,5.97,0.08,0.0,78.86
49.9,0.0,4.38,0.0,0.0,45.73
16.31,0.0,3.59,0.0,0.0,80.11
2.17,0.0,4.21,0.0,0.0,93.62
10.25,0.0,9.91,0.33,0.0,79.51
4.54,0.0,3.83,0.0,0.0,91.62
35.45,0.0,10.3,0.25,0.0,54.0
3.71,0.0,4.67,0.0,0.0,91.62
34.75,0.0,12.39,1.22,0.0,51.64
3.92,0.0,4.46,0.0,0.0,91.62
4.13,0.0,4.21,0.0,0.0,91.66
4.17,0.0,4.21,0.0,0.0,91.62
4.13,0.0,4.21,0.0,0.0,91.66
4.5,0.0,3.88,0.0,0.0,91.62
4.17,0.0,4.25,0.0,0.0,91.58
9.81,0.0,5.8,0.08,0.0,84.31
49.83,0.0,4.46,0.0,0.0,45.7
19.26,0.0,3.46,0.0,0.0,77.28
